Dataset Reg ID,Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Attribute Name,Attribute Value Sequence,Attribute Category Value,Frequency_Count
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,4,42023,397
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,5,52023,394
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,6,62023,389
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,7,12023,316
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,8,22023,314
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,9,32023,313
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,10,112022,262
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,11,102022,262
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,12,122022,259
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,13,72022,220
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,14,82022,220
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,mthy_rpt_per,15,92022,219
